 HEX |   BINARY   |  OCT  |  2nd BYTE   |    BYTES 3,4,5,6     |    ASM-86 INSTRUCTION FORMAT
  43 | 0100  0011 |  103  |             |                      | INC     BX
  44 | 0100  0100 |  104  |             |                      | INC     SP
  45 | 0100  0101 |  105  |             |                      | INC     BP
  46 | 0100  0110 |  106  |             |                      | INC     SI
  47 | 0100  0111 |  107  |             |                      | INC     DI
  48 | 0100  1000 |  110  |             |                      | DEC     AX
  49 | 0100  1001 |  111  |             |                      | DEC     CX
  4A | 0100  1010 |  112  |             |                      | DEC     DX
  4B | 0100  1011 |  113  |             |                      | DEC     BX
  4C | 0100  1100 |  114  |             |                      | DEC     SP
  4D | 0100  1101 |  115  |             |                      | DEC     BP
  4E | 0100  1110 |  116  |             |                      | DEC     SI
  4F | 0100  1111 |  117  |             |                      | DEC     DI
  50 | 0101  0000 |  120  |             |                      | PUSH    AX
  51 | 0101  0001 |  121  |             |                      | PUSH    CX
  52 | 0101  0010 |  122  |             |                      | PUSH    DX
  53 | 0101  0011 |  123  |             |                      | PUSH    BX
  54 | 0101  0100 |  124  |             |                      | PUSH    SP
  55 | 0101  0101 |  125  |             |                      | PUSH    BP
  56 | 0101  0110 |  126  |             |                      | PUSH    SI
  57 | 0101  0111 |  127  |             |                      | PUSH    DI
  58 | 0101  1000 |  130  |             |                      | POP     AX
  59 | 0101  1001 |  131  |             |                      | POP     CX
  5A | 0101  1010 |  132  |             |                      | POP     DX
  5B | 0101  1011 |  133  |             |                      | POP     BX
  5C | 0101  1100 |  134  |             |                      | POP     SP
  5D | 0101  1101 |  135  |             |                      | POP     BP
  5E | 0101  1110 |  136  |             |                      | POP     SI
  5F | 0101  1111 |  137  |             |                      | POP     DI
  60 | 0110  0000 |  140  |             |                      | (not used)
  61 | 0110  0001 |  141  |             |                      | (not used)
  62 | 0110  0010 |  142  |             |                      | (not used)
  63 | 0110  0011 |  143  |             |                      | (not used)
  64 | 0110  0100 |  144  |             |                      | (not used)
  65 | 0110  0101 |  145  |             |                      | (not used)
  66 | 0110  0110 |  146  |             |                      | (not used)
  67 | 0110  0111 |  147  |             |                      | (not used)
  68 | 0110  1000 |  150  |             |                      | (not used)
  69 | 0110  1001 |  151  |             |                      | (not used)
  6A | 0110  1010 |  152  |             |                      | (not used)
  6B | 0110  1011 |  153  |             |                      | (not used)
  6C | 0110  1100 |  154  |             |                      | (not used)
  6D | 0110  1101 |  155  |             |                      | (not used)
  6E | 0110  1110 |  156  |             |                      | (not used)
  6F | 0110  1111 |  157  |             |                      | (not used)
  70 | 0111  0000 |  160  | IP-INC8     |                      | JO      SHORT-LABEL
  71 | 0111  0001 |  161  | IP-INC8     |                      | JNO     SHORT-LABEL
  72 | 0111  0010 |  162  | IP-INC8     |                      | JB/JNAE/SHORT-LABEL
     |            |       |             |                      |   JC
  73 | 0111  0011 |  163  | IP-INC8     |                      | JNB/JAE/SHORT-LABEL
     |            |       |             |                      |   JNC
  74 | 0111  0100 |  164  | IP-INC8     |                      | JE/JZ   SHORT-LABEL
  75 | 0111  0101 |  165  | IP-INC8     |                      | JNE/JNZ SHORT-LABEL
  76 | 0111  0110 |  166  | IP-INC8     |                      | JBE/JNA SHORT-LABEL
  77 | 0111  0111 |  167  | IP-INC8     |                      | JNBE/JA SHORT-LABEL
  78 | 0111  1000 |  170  | IP-INC8     |                      | JS      SHORT-LABEL
  79 | 0111  1001 |  171  | IP-INC8     |                      | JNS     SHORT-LABEL
  7A | 0111  1010 |  172  | IP-INC8     |                      | JP/JPE  SHORT-LABEL
  7B | 0111  1011 |  173  | IP-INC8     |                      | JNP/JPO SHORT-LABEL
  7C | 0111  1100 |  174  | IP-INC8     |                      | JL/JNGE SHORT-LABEL
  7D | 0111  1101 |  175  | IP-INC8     |                      | JNL/JGE SHORT-LABEL
  7E | 0111  1110 |  176  | IP-INC8     |                      | JLE/JNG SHORT-LABEL
  7F | 0111  1111 |  177  | IP-INC8     |                      | JNLE/JG SHORT-LABEL
     |            |       |             |                      |
  80 | 1000  0000 |  200  | MOD 000 R/M | (DISP-LO),(DISP-HI), | ADD     REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
  80 | 1000  0000 |  200  | MOD 001 R/M | (DISP-LO),(DISP-HI), | OR      REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
  80 | 1000  0000 |  200  | MOD 010 R/M | (DISP-LO),(DISP-HI), | ADC     REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
