 HEX |   BINARY   |  OCT  |  2nd BYTE   |    BYTES 3,4,5,6     |    ASM-86 INSTRUCTION FORMAT
     |       1XXX |  33X  | MOD YYY R/M | (DISP-LO),(DISP-HI)  | ESC     OPCODE,SOURCE
  DF | 1101  1111 |  337  | MOD 111 R/M |                      |
  E0 | 1110  0000 |  340  | IP-INC-8    |                      | LOOPNE/ SHORT-LABEL
     |            |       |             |                      |  LOOPNZ
  E1 | 1110  0001 |  341  | IP-INC-8    |                      | LOOPE/  SHORT-LABEL
     |            |       |             |                      |  LOOPZ
  E2 | 1110  0010 |  342  | IP-INC8     |                      | LOOP    SHORT-LABEL
  E3 | 1110  0011 |  343  | IP-INC8     |                      | JCXZ    SHORT-LABEL
  E4 | 1110  0100 |  344  | DATA-8      |                      | IN      AL,IMMED8
  E5 | 1110  0101 |  345  | DATA-8      |                      | IN      AX,IMMED8
  E6 | 1110  0110 |  346  | DATA-8      |                      | OUT     AL,IMMED8
  E7 | 1110  0111 |  347  | DATA-8      |                      | OUT     AX,IMMED8
  E8 | 1110  1000 |  350  | IP-INC-LO   | IP-INC-HI            | CALL    NEAR-PROC
  E9 | 1110  1001 |  351  | IP-INC-LO   | IP-INC-HI            | JMP     NEAR-LABEL
  EA | 1110  1010 |  352  | IP-LO       | IP-HI,CS-LO,CS-HI    | JMP     FAR-LABEL
  EB | 1110  1011 |  353  | IP-INC8     |                      | JMP     SHORT-LABEL
  EC | 1110  1100 |  354  |             |                      | IN      AL,DX
  ED | 1110  1101 |  355  |             |                      | IN      AX,DX
  EE | 1110  1110 |  356  |             |                      | OUT     AL,DX
  EF | 1110  1111 |  357  |             |                      | OUT     AX,DX
  F0 | 1111  0000 |  360  |             |                      | LOCK    (prefix)
  F1 | 1111  0001 |  361  |             |                      | (not used)
  F2 | 1111  0010 |  362  |             |                      | REPNE/REPNZ
  F3 | 1111  0011 |  363  |             |                      | REP/REPE/REPZ
  F4 | 1111  0100 |  364  |             |                      | HLT
  F5 | 1111  0101 |  365  |             |                      | CMC
     |            |       |             |                      |
  F6 | 1111  0110 |  366  | MOD 000 R/M | (DISP-LO),(DISP-HI), | TEST    REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
  F6 | 1111  0110 |  366  | MOD 001 R/M |                      | (not used)
  F6 | 1111  0110 |  366  | MOD 010 R/M | (DISP-LO),(DISP-HI)  | NOT     REG8/MEM8
  F6 | 1111  0110 |  366  | MOD 011 R/M | (DISP-LO),(DISP-HI)  | NEG     REG8/MEM8
  F6 | 1111  0110 |  366  | MOD 100 R/M | (DISP-LO),(DISP-HI)  | MUL     REG8/MEM8
  F6 | 1111  0110 |  366  | MOD 101 R/M | (DISP-LO),(DISP-HI)  | IMUL    REG8/MEM8
  F6 | 1111  0110 |  366  | MOD 110 R/M | (DISP-LO),(DISP-HI)  | DIV     REG8/MEM8
  F6 | 1111  0110 |  366  | MOD 111 R/M | (DISP-LO),(DISP-HI)  | IDIV    REG8/MEM8
     |            |       |             |                      |
  F7 | 1111  0111 |  367  | MOD 000 R/M | (DISP-LO),(DISP-HI), | TEST    REG16/MEM16,IMMED16
     |            |       |             |     DATA-LO,DATA-HI  |
  F7 | 1111  0111 |  367  | MOD 001 R/M |                      | (not used)
  F7 | 1111  0111 |  367  | MOD 010 R/M | (DISP-LO),(DISP-HI)  | NOT     REG16/MEM16
  F7 | 1111  0111 |  367  | MOD 011 R/M | (DISP-LO),(DISP-HI)  | NEG     REG16/MEM16
  F7 | 1111  0111 |  367  | MOD 100 R/M | (DISP-LO),(DISP-HI)  | MUL     REG16/MEM16
  F7 | 1111  0111 |  367  | MOD 101 R/M | (DISP-LO),(DISP-HI)  | IMUL    REG16/MEM16
  F7 | 1111  0111 |  367  | MOD 110 R/M | (DISP-LO),(DISP-HI)  | DIV     REG16/MEM16
  F7 | 1111  0111 |  367  | MOD 111 R/M | (DISP-LO),(DISP-HI)  | IDIV    REG16/MEM16
     |            |       |             |                      |
  F8 | 1111  1000 |  370  |             |                      | CLC
  F9 | 1111  1001 |  371  |             |                      | STC
  FA | 1111  1010 |  372  |             |                      | CLI
  FB | 1111  1011 |  373  |             |                      | STI
  FC | 1111  1100 |  374  |             |                      | CLD
  FD | 1111  1101 |  375  |             |                      | STD
     |            |       |             |                      |
  FE | 1111  1110 |  376  | MOD 000 R/M | (DISP-LO),(DISP-HI)  | INC     REG8/MEM8
  FE | 1111  1110 |  376  | MOD 001 R/M | (DISP-LO),(DISP-HI)  | DEC     REG8/MEM8
  FE | 1111  1110 |  376  | MOD 010 R/M |                      | (not used)
  FE | 1111  1110 |  376  | MOD 011 R/M |                      | (not used)
  FE | 1111  1110 |  376  | MOD 100 R/M |                      | (not used)
  FE | 1111  1110 |  376  | MOD 101 R/M |                      | (not used)
  FE | 1111  1110 |  376  | MOD 110 R/M |                      | (not used)
  FE | 1111  1110 |  376  | MOD 111 R/M |                      | (not used)
     |            |       |             |                      |
  FF | 1111  1111 |  377  | MOD 000 R/M | (DISP-LO),(DISP-HI)  | INC     MEM16
  FF | 1111  1111 |  377  | MOD 001 R/M | (DISP-LO),(DISP-HI)  | DEC     MEM16
  FF | 1111  1111 |  377  | MOD 010 R/M | (DISP-LO),(DISP-HI)  | CALL    REG16/MEM16(intra)
  FF | 1111  1111 |  377  | MOD 011 R/M | (DISP-LO),(DISP-HI)  | CALL    MEM16(intersegment)
  FF | 1111  1111 |  377  | MOD 100 R/M | (DISP-LO),(DISP-HI)  | JMP     REG16/MEM16(intra)
  FF | 1111  1111 |  377  | MOD 101 R/M | (DISP-LO),(DISP-HI)  | JMP     MEM16(intersegment)
  FF | 1111  1111 |  377  | MOD 110 R/M | (DISP-LO),(DISP-HI)  | PUSH    MEM16
  FF | 1111  1111 |  377  | MOD 111 R/M |                      | (not used)
